"gu","dong","car","Hyd_car","lat","lng","r1","r2","r3","r4","r1_from","r2_from","r3_from","r4_from"
"종로구","청운동",764,0,37.5890286,126.9685157,0.078919795,0.090114955,0.136906265,0.246740241,"여의도","상암","양재","하남"
"종로구","신교동",360,0,37.584442,126.9676997,0.075030707,0.08859063,0.133303683,0.246503657,"여의도","상암","양재","하남"
"종로구","궁정동",48,0,37.5849071,126.9724095,0.078719934,0.093320727,0.131430699,0.242009558,"여의도","상암","양재","하남"
"종로구","효자동",208,0,37.5827038,126.9718981,0.076846194,0.092550546,0.129734126,0.242030429,"여의도","상암","양재","하남"
"종로구","창성동",138,0,37.580573,126.9723675,0.075779654,0.092813049,0.127640772,0.241127034,"여의도","상암","양재","하남"
"종로구","통의동",155,0,37.5779984,126.9727225,0.074391516,0.092985586,0.125219362,0.240265513,"여의도","상암","양재","하남"
"종로구","적선동",190,0,37.5752845,126.9739369,0.073668626,0.094085449,0.122258967,0.238558757,"여의도","상암","양재","하남"
"종로구","통인동",214,0,37.5798178,126.9700651,0.073552045,0.090456819,0.128116064,0.243229356,"여의도","상암","양재","하남"
"종로구","누상동",827,0,37.5802364,126.9623723,0.068303035,0.082826691,0.132482612,0.25085341,"여의도","상암","양재","하남"
"종로구","누하동",213,0,37.5793623,126.9680055,0.071718668,0.088368362,0.128767224,0.245158074,"여의도","상암","양재","하남"
"종로구","옥인동",650,0,37.5835524,126.9641935,0.071964589,0.084998651,0.134324856,0.249740672,"여의도","상암","양재","하남"
"종로구","체부동",170,1,37.5778624,126.9710381,0.073008121,0.091296197,0.125936218,0.241891727,"여의도","상암","양재","하남"
"종로구","필운동",323,0,37.5768799,126.967704,0.069837546,0.087915763,0.12680123,0.244979373,"여의도","상암","양재","하남"
"종로구","내자동",3159,0,37.575276,126.971827,0.071990904,0.091976106,0.123304098,0.240631185,"여의도","상암","양재","하남"
"종로구","사직동",1031,0,37.5753838,126.9658263,0.067439343,0.08598111,0.12653294,0.246552371,"여의도","상암","양재","하남"
"종로구","도렴동",109,0,37.5727248,126.9746762,0.072758542,0.094790201,0.1196686,0.237371745,"여의도","상암","양재","하남"
"종로구","당주동",341,0,37.5715788,126.9738252,0.071404745,0.093946315,0.119104015,0.238012921,"여의도","상암","양재","하남"
"종로구","내수동",1189,0,37.5733668,126.9721015,0.07104953,0.092217664,0.121520023,0.240019071,"여의도","상암","양재","하남"
"종로구","세종로",389,3,37.5794898,126.9770085,0.078668499,0.097357112,0.124497413,0.236362627,"여의도","상암","양재","하남"
"종로구","신문로1가",996,0,37.5703732,126.9740722,0.070929715,0.094215807,0.11793998,0.237568051,"여의도","상암","양재","하남"
"종로구","신문로2가",402,0,37.5710316,126.9692509,0.06736857,0.089381133,0.121021858,0.242432002,"여의도","상암","양재","하남"
"종로구","청진동",224,0,37.5715373,126.9802938,0.076786786,0.100414943,0.115926317,0.23163316,"여의도","상암","양재","하남"
"종로구","서린동",272,2,37.569505,126.9803078,0.075742603,0.100473732,0.114123759,0.231274663,"여의도","상암","양재","하남"
"종로구","수송동",763,0,37.5738606,126.9805797,0.078280399,0.100699991,0.117858647,0.231767348,"여의도","상암","양재","하남"
"종로구","중학동",51,0,37.575195,126.9799523,0.078502089,0.100096533,0.11933243,0.232632387,"여의도","상암","양재","하남"
"종로구","종로1가",269,0,37.5706982,126.980334,0.076380208,0.100468648,0.115165064,0.231449131,"여의도","상암","양재","하남"
"종로구","공평동",70,1,37.5713261,126.9832335,0.079187998,0.103357103,0.114401513,0.228701715,"여의도","상암","양재","하남"
"종로구","관훈동",200,0,37.5741579,126.9847959,0.081993749,0.104919549,0.116272935,0.227680111,"여의도","상암","양재","하남"
"종로구","견지동",206,0,37.5737344,126.9830947,0.080327032,0.103213539,0.116623944,0.229272245,"여의도","상암","양재","하남"
"종로구","와룡동",80,0,37.5809142,126.9927443,0.092323622,0.113154298,0.119443204,0.221296389,"여의도","상암","양재","하남"
"종로구","권농동",68,0,37.576109,126.9917564,0.0889586,0.111921268,0.11530709,0.221235373,"여의도","상암","양재","하남"
"종로구","운니동",198,0,37.576392,126.9883159,0.086162691,0.108491552,0.116875627,0.224662207,"여의도","상암","양재","하남"
"종로구","익선동",308,0,37.574232,126.9897103,0.086244361,0.109834502,0.114342734,0.222869909,"여의도","상암","양재","하남"
"종로구","경운동",208,0,37.5752459,126.9864008,0.083931176,0.106544391,0.116592918,0.226313076,"여의도","상암","양재","하남"
"종로구","관철동",137,0,37.5691978,126.9859065,0.080462815,0.10607949,0.111315648,0.225703092,"여의도","상암","양재","하남"
"종로구","인사동",267,0,37.5720605,126.9859554,0.081906783,0.106071545,0.113881831,0.22615373,"여의도","상암","양재","하남"
"종로구","낙원동",319,0,37.5725546,126.9886246,0.084467564,0.10873875,0.113230904,0.223619544,"여의도","상암","양재","하남"
"종로구","종로2가",128,0,37.5707645,126.9863062,0.081568881,0.106438442,0.11255934,0.225578149,"여의도","상암","양재","하남"
"종로구","팔판동",86,0,37.5827295,126.9805795,0.083478689,0.101188295,0.125823852,0.233560318,"여의도","상암","양재","하남"
"종로구","삼청동",437,0,37.5898785,126.9813798,0.088692716,0.102931487,0.132006215,0.23446402,"여의도","상암","양재","하남"
"종로구","안국동",138,0,37.5774765,126.9838446,0.083003457,0.104066673,0.119682886,0.229260275,"여의도","상암","양재","하남"
"종로구","소격동",60,0,37.5797855,126.981012,0.082029874,0.101371482,0.122978738,0.232506309,"여의도","상암","양재","하남"
"종로구","화동",51,0,37.5806863,126.9826101,0.083850287,0.103031373,0.12311452,0.231134574,"여의도","상암","양재","하남"
"종로구","사간동",57,0,37.5772363,126.9805779,0.080181705,0.100792462,0.12087631,0.232413222,"여의도","상암","양재","하남"
"종로구","송현동",2,0,37.5770464,126.9819269,0.081178112,0.102131941,0.120113684,0.231053328,"여의도","상암","양재","하남"
"종로구","가회동",287,0,37.5828064,126.9848647,0.0869241,0.105460706,0.124131273,0.229399656,"여의도","상암","양재","하남"
"종로구","재동",227,0,37.5781586,126.9852528,0.084552069,0.105506294,0.119720419,0.22802046,"여의도","상암","양재","하남"
"종로구","계동",364,2,37.5829045,126.9868772,0.088603899,0.107473418,0.123437005,0.227461313,"여의도","상암","양재","하남"
"종로구","원서동",447,1,37.5841834,126.9880867,0.090334422,0.108804675,0.12416588,0.226578844,"여의도","상암","양재","하남"
"종로구","훈정동",1,0,37.5742191,126.9940707,0.090034543,0.112708386,0.114194344,0.218590395,"여의도","양재","상암","하남"
"종로구","묘동",69,0,37.5725522,126.9918438,0.087281143,0.111957949,0.111973753,0.22045605,"여의도","상암","양재","하남"
"종로구","봉익동",103,0,37.572373,126.9930161,0.088228626,0.111369762,0.113130679,0.219270936,"여의도","양재","상암","하남"
"종로구","돈의동",189,0,37.5720312,126.9906468,0.0859807,0.110763036,0.11195098,0.221535517,"여의도","상암","양재","하남"
"종로구","장사동",338,0,37.5692358,126.9942544,0.087910284,0.107997024,0.114421918,0.217485097,"여의도","양재","상암","하남"
"종로구","관수동",154,0,37.5690609,126.9904495,0.084423549,0.109298685,0.11062453,0.2212026,"여의도","양재","상암","하남"
"종로구","종로3가",69,0,37.5703825,126.9923929,0.086755032,0.109757793,0.112531492,0.219519685,"여의도","양재","상암","하남"
"종로구","인의동",441,0,37.5726289,126.9980205,0.092790022,0.109862666,0.118134548,0.214406549,"여의도","양재","상암","하남"
"종로구","예지동",78,0,37.5695052,126.9984621,0.091827887,0.106769109,0.118620079,0.213391404,"여의도","양재","상암","하남"
"종로구","원남동",264,0,37.575484,126.9976454,0.093778778,0.112683943,0.117791482,0.215342723,"여의도","양재","상암","하남"
"종로구","연지동",429,0,37.5737459,127.0001194,0.095167056,0.110252779,0.12023765,0.21256788,"여의도","양재","상암","하남"
"종로구","종로4가",51,0,37.5706899,126.9979792,0.091896862,0.108047084,0.118110907,0.214081512,"여의도","양재","상암","하남"
"종로구","효제동",226,0,37.5733424,127.0034706,0.097995312,0.108878286,0.123586093,0.209203826,"여의도","양재","상암","하남"
"종로구","종로5가",112,0,37.5707296,127.0033502,0.096782254,0.106408525,0.123480486,0.208812222,"여의도","양재","상암","하남"
