"자치구","동","계","X0.4세","X5.9세","X10.14세","X15.19세","X20.24세","X25.29세","X30.34세","X35.39세","X40.44세","X45.49세","X50.54세","X55.59세","X60.64세","X65.69세","X70.74세","X75.79세","X80.84세","X85.89세","X90.94세","X95.99세","X100세이상"
"종로구","사직동",9841,255,382,366,360,534,758,733,756,736,834,805,788,716,468,409,383,296,153,71,20,18
"종로구","삼청동",2993,60,84,124,114,170,190,192,243,221,217,211,235,253,187,162,136,97,58,23,7,9
"종로구","부암동",10597,230,381,451,506,766,825,699,717,719,976,909,839,780,512,461,347,271,120,55,23,10
"종로구","평창동",18768,509,694,721,967,1269,1297,1053,1255,1199,1633,1692,1691,1453,980,770,655,478,272,115,41,24
"종로구","무악동",8767,298,450,499,540,495,459,442,566,686,920,716,682,576,426,351,296,209,90,39,11,16
"종로구","교남동",10750,456,456,434,440,600,733,864,977,882,1033,844,773,657,492,413,323,220,90,35,13,15
"종로구","가회동",4464,80,136,168,183,238,263,267,350,354,443,378,341,333,269,233,211,108,64,30,5,10
"종로구","종로1.2.3.4가동",8539,123,155,124,179,492,670,582,583,546,700,690,886,859,610,469,378,232,136,56,31,38
"종로구","종로5·6가동",5853,67,66,90,196,602,762,451,309,292,402,501,537,440,342,301,238,146,60,31,11,9
"종로구","이화동",8460,128,160,200,308,969,1136,828,568,467,615,563,617,497,422,310,302,202,108,33,14,13
"종로구","창신1동",6046,79,100,99,179,458,434,332,332,323,472,616,746,632,413,309,261,152,57,31,12,9
"종로구","창신2동",9776,133,158,212,379,871,803,594,498,531,843,1043,1096,882,549,440,381,211,95,37,7,13
"종로구","창신3동",7230,222,194,257,311,496,555,522,516,435,586,654,665,589,397,290,256,147,87,26,14,11
"종로구","숭인1동",6508,135,197,185,231,405,487,429,504,430,599,590,633,501,382,278,255,157,69,21,12,8
"종로구","숭인2동",9965,150,162,141,251,789,1252,902,698,575,747,860,920,823,565,411,348,218,86,36,13,18
"종로구","청운효자동",12960,374,530,582,653,856,841,820,984,1070,1194,1109,917,793,598,543,495,348,157,52,26,18
"종로구","혜화동",20467,264,479,581,1132,4630,2776,1315,1026,1049,1312,1191,1143,907,687,633,618,415,203,64,20,22
"중구","소공동",3057,108,176,106,92,96,174,315,363,395,296,261,185,192,112,67,54,33,15,8,3,6
