"자치구","동","동별총대수","수소차대수","고유번호","읍면동코드","읍면동영문명","위도","경도","여의도","양재","상암","하남"
"종로구","청운동",764,NA,127,11110101,"Cheongun-dong",37.5890286,126.9685157,0.078919795,0.136906265,0.090114955,0.246740241
"종로구","신교동",360,NA,13,11110102,"Singyo-dong",37.584442,126.9676997,0.075030707,0.133303683,0.08859063,0.246503657
"종로구","궁정동",48,NA,195,11110103,"Gungjeong-dong",37.5849071,126.9724095,0.078719934,0.131430699,0.093320727,0.242009558
"종로구","효자동",208,NA,28,11110104,"Hyoja-dong",37.5827038,126.9718981,0.076846194,0.129734126,0.092550546,0.242030429
"종로구","창성동",138,NA,93,11110105,"Changseong-dong",37.580573,126.9723675,0.075779654,0.127640772,0.092813049,0.241127034
"종로구","통의동",155,NA,170,11110106,"Tongui-dong",37.5779984,126.9727225,0.074391516,0.125219362,0.092985586,0.240265513
"종로구","적선동",190,NA,45,11110107,"Jeokseon-dong",37.5752845,126.9739369,0.073668626,0.122258967,0.094085449,0.238558757
"종로구","통인동",214,NA,91,11110108,"Tongin-dong",37.5798178,126.9700651,0.073552045,0.128116064,0.090456819,0.243229356
"종로구","누상동",827,NA,443,11110109,"Nusang-dong",37.5802364,126.9623723,0.068303035,0.132482612,0.082826691,0.25085341
"종로구","누하동",213,NA,262,11110110,"Nuha-dong",37.5793623,126.9680055,0.071718668,0.128767224,0.088368362,0.245158074
"종로구","옥인동",650,NA,315,11110111,"Ogin-dong",37.5835524,126.9641935,0.071964589,0.134324856,0.084998651,0.249740672
"종로구","체부동",170,1,316,11110112,"Chebu-dong",37.5778624,126.9710381,0.073008121,0.125936218,0.091296197,0.241891727
"종로구","필운동",323,NA,236,11110113,"Pirun-dong",37.5768799,126.967704,0.069837546,0.12680123,0.087915763,0.244979373
"종로구","내자동",3159,NA,12,11110114,"Naeja-dong",37.575276,126.971827,0.071990904,0.123304098,0.091976106,0.240631185
"종로구","사직동",1031,NA,171,11110115,"Sajik-dong",37.5753838,126.9658263,0.067439343,0.12653294,0.08598111,0.246552371
"종로구","도렴동",109,NA,55,11110116,"Doryeom-dong",37.5727248,126.9746762,0.072758542,0.1196686,0.094790201,0.237371745
"종로구","당주동",341,NA,204,11110117,"Dangju-dong",37.5715788,126.9738252,0.071404745,0.119104015,0.093946315,0.238012921
"종로구","내수동",1189,NA,214,11110118,"Naesu-dong",37.5733668,126.9721015,0.07104953,0.121520023,0.092217664,0.240019071
"종로구","세종로",389,3,230,11110119,"Sejongno",37.5794898,126.9770085,0.078668499,0.124497413,0.097357112,0.236362627
"종로구","신문로1가",996,NA,118,11110120,"Sinmunno 1(il)-ga",37.5703732,126.9740722,0.070929715,0.11793998,0.094215807,0.237568051
"종로구","신문로2가",402,NA,33,11110121,"Sinmunno 2(i)-ga",37.5710316,126.9692509,0.06736857,0.121021858,0.089381133,0.242432002
"종로구","청진동",224,NA,146,11110122,"Cheongjin-dong",37.5715373,126.9802938,0.076786786,0.115926317,0.100414943,0.23163316
"종로구","서린동",272,2,14,11110123,"Seorin-dong",37.569505,126.9803078,0.075742603,0.114123759,0.100473732,0.231274663
