고유번호,읍면동코드,읍면동명,읍면동영문명,위도,경도,여의도,양재,상암,하남
76,11140108,수하동,Suha-dong,37.5674173,126.984642,0.078509024,0.110275258,0.104890884,0.226658898
84,11140102,다동,Da-dong,37.5678826,126.9811936,0.075699997,0.112275364,0.101423743,0.230137384
85,11230107,청량리동,Cheongnyangni-dong,37.5883148,127.0460899,0.142980267,0.120042074,0.166932521,0.172043709
86,11230110,이문동,Imun-dong,37.5994013,127.0624708,0.162473952,0.133572532,0.184521816,0.161051952
87,11260106,신내동,Sinnae-dong,37.6102524,127.1011551,0.202230011,0.156465162,0.224427204,0.133193173
88,11110156,종로3가,Jongno 3(sam)-ga,37.5703825,126.9923929,0.086755032,0.109757793,0.112531492,0.219519685
92,11110145,송현동,Songhyeon-dong,37.5770464,126.9819269,0.081178112,0.120113684,0.102131941,0.231053328
97,11215109,군자동,Gunja-dong,37.5532424,127.0734923,0.159913476,0.093102591,0.194585099,0.136685287
5,11170105,남영동,Namyeong-dong,37.5428503,126.9733899,0.059456699,0.095720659,0.09816351,0.235294538
8,11140110,수표동,Supyo-dong,37.5674664,126.9894371,0.0828052,0.108252969,0.109677717,0.221934512
9,11140164,무학동,Muhak-dong,37.5642292,127.0152228,0.105481757,0.09721553,0.135603828,0.195968744
101,11470101,신정동,Sinjeong-dong,37.5163358,126.8530247,0.063805918,0.187222146,0.062469186,0.355687706
10,11140106,남대문로1가,Namdaemunno 1(il)-ga,37.5675948,126.9831121,0.077242295,0.111127909,0.103354,0.228197534
19,11650104,원지동,Wonji-dong,37.4449934,127.049594,0.15954103,0.028446921,0.21241168,0.180725329
20,11410102,충정로3가,Chungjeongno 3(sam)-ga,37.5622877,126.9621679,0.056539527,0.117921205,0.082942493,0.248177808
12,11110114,내자동,Naeja-dong,37.575276,126.971827,0.071990904,0.123304098,0.091976106,0.240631185
13,11110102,신교동,Singyo-dong,37.584442,126.9676997,0.075030707,0.133303683,0.08859063,0.246503657
15,11650103,우면동,Umyeon-dong,37.4660631,127.0178628,0.121459427,0.016507589,0.174403244,0.201383219
16,11170118,원효로4가,Wonhyoro 4(sa)-ga,37.532933,126.9506456,0.035555459,0.105231711,0.081185714,0.257758803
17,11140130,남산동3가,Namsan-dong 3(sam)-ga,37.5600001,126.9873836,0.077880369,0.102420316,0.108249303,0.222875684
1,11230104,전농동,Jeonnong-dong,37.5802851,127.0556709,0.14895126,0.113478345,0.175946967,0.160402434
2,11230109,휘경동,Hwigyeong-dong,37.5881848,127.0643272,0.159803187,0.123076774,0.185087149,0.154908557
3,11320107,창동,Chang-dong,37.6463131,127.04338,0.172528673,0.177684035,0.179287548,0.201165518
4,11140162,신당동,Sindang-dong,37.556819,127.0154305,0.103579902,0.089914948,0.136475751,0.194653282
6,11200102,하왕십리동,Hawangsimni-dong,37.5643661,127.0285933,0.118280989,0.09565647,0.148942605,0.182827347
7,11305101,미아동,Mia-dong,37.6219876,127.0235677,0.141611269,0.15348147,0.151888938,0.20589653
11,11140123,회현동3가,Hoehyeon-dong 3(sam)-ga,37.560059,126.9840941,0.074862367,0.104014542,0.104976231,0.226145617
14,11110123,서린동,Seorin-dong,37.569505,126.9803078,0.075742603,0.114123759,0.100473732,0.231274663
18,11140109,장교동,Janggyo-dong,37.5674834,126.9870578,0.080685183,0.109272113,0.107300392,0.224285023
23,11140144,장충동2가,Jangchung-dong 2(i)-ga,37.55526,127.0003341,0.088603023,0.092765268,0.121709163,0.209444051
25,11140141,주자동,Juja-dong,37.5606513,126.989397,0.079991372,0.102102146,0.110175655,0.220964905
27,11140101,무교동,Mugyo-dong,37.5680651,126.9788674,0.073771073,0.113550089,0.099091501,0.232463065
29,11215103,구의동,Guui-dong,37.5436014,127.0931657,0.178470098,0.095236527,0.215260301,0.115891867
30,11350103,공릉동,Gongneung-dong,37.6304774,127.0884816,0.199905575,0.170502341,0.216440082,0.155638946
31,11110153,돈의동,Donui-dong,37.5720312,126.9906468,0.0859807,0.11195098,0.110763036,0.221535517
44,11110125,중학동,Junghak-dong,37.575195,126.9799523,0.078502089,0.11933243,0.100096533,0.232632387
45,11110107,적선동,Jeokseon-dong,37.5752845,126.9739369,0.073668626,0.122258967,0.094085449,0.238558757
48,11110126,종로1가,Jongno 1(il)-ga,37.5706982,126.980334,0.076380208,0.115165064,0.100468648,0.231449131
55,11110116,도렴동,Doryeom-dong,37.5727248,126.9746762,0.072758542,0.1196686,0.094790201,0.237371745
56,11110142,소격동,Sogyeok-dong,37.5797855,126.981012,0.082029874,0.122978738,0.101371482,0.232506309
65,11410112,대현동,Daehyeon-dong,37.5613992,126.9453104,0.04290272,0.128259792,0.06639919,0.264808878
73,11650110,염곡동,Yeomgok-dong,37.4631455,127.0527369,0.153360609,0.019467579,0.204663852,0.169914153
36,11170111,청파동3가,Cheongpa-dong 3(sam)-ga,37.5433004,126.9666026,0.052929582,0.100497931,0.091576003,0.242095795
37,11260103,중화동,Junghwa-dong,37.600464,127.0784467,0.177501996,0.138855863,0.200487528,0.147228531
43,11410108,영천동,Yeongcheon-dong,37.5701581,126.9583199,0.058359809,0.126516602,0.07847622,0.253085573
38,11260104,묵동,Muk-dong,37.6125348,127.0803388,0.184265759,0.150913313,0.204365724,0.151671875
39,11260105,망우동,Mangu-dong,37.6003767,127.1056492,0.202778218,0.149696386,0.227449085,0.123830879
40,11410105,냉천동,Naengcheon-dong,37.5674955,126.9620152,0.059468897,0.122178286,0.082296159,0.249033529
41,11170117,원효로3가,Wonhyoro 3(sam)-ga,37.5343201,126.9577323,0.042721385,0.100599822,0.086808703,0.250685329
42,11650107,반포동,Banpo-dong,37.5045831,127.0021767,0.090916271,0.047921174,0.139998917,0.207941115
46,11110144,사간동,Sagan-dong,37.5772363,126.9805779,0.080181705,0.12087631,0.100792462,0.232413222
47,11410104,미근동,Migeun-dong,37.5635697,126.9673972,0.061627655,0.115850334,0.087989845,0.24315741
49,11410110,북아현동,Bugahyeon-dong,37.5636974,126.9549002,0.051542358,0.123570211,0.075556657,0.255565191
50,11410111,홍제동,Hongje-dong,37.5873266,126.94728,0.064943951,0.146883929,0.068955537,0.267069555
51,11170119,효창동,Hyochang-dong,37.543576,126.9607221,0.047306372,0.104736365,0.085934407,0.247982725
52,11650109,내곡동,Naegok-dong,37.4583407,127.0770851,0.177444107,0.044226765,0.227977062,0.150203688
