"","시군구명","총생활인구수","주간인구수","야간인구수"
"1","종로구",339134.104539785,424302.335368952,278200.153106855
"2","중구",358072.911990457,463649.336354032,282561.691430376
"3","용산구",325387.148781452,351000.57063414,306997.687763978
"4","성동구",365824.151441263,373757.171052151,360053.18798078
"5","광진구",408327.743368952,392245.045417608,419694.144873925
"6","동대문구",395997.63504543,394574.397408065,396898.999939919
"7","중랑구",366944.203666667,337197.197165188,388084.827461694
"8","성북구",452381.19203414,429635.033952285,468497.685539651
"9","강북구",309347.897379167,284766.438047581,326815.175399866
"10","도봉구",291234.634822984,270708.941360349,305809.465986828
"11","노원구",531820.32541129,500801.888109409,553823.164885618
"12","은평구",451976.196829435,410861.285759812,481212.167028763
"13","서대문구",411040.668361828,419497.711361559,404882.844284274
"14","마포구",509342.865995564,530320.579340054,494208.484524462
"15","양천구",404251.867222446,379979.765205108,421473.087456317
"16","강서구",561760.604576344,537358.065337366,579028.182745564
"17","구로구",429308.281041667,423531.245408333,433310.545107258
"18","금천구",241879.962898656,257807.399510081,230435.742890995
"19","영등포구",519062.718742473,569774.530211022,482691.992584005
"20","동작구",425394.379545565,400448.520904301,443089.003279301
"21","관악구",519173.865135753,471659.796253763,552958.8911875
"22","서초구",617727.241394355,703220.606764247,556486.696117473
"23","강남구",852709.440997581,1004121.23717863,744326.973064113
"24","송파구",780160.869380914,783557.127113038,777512.270222849
"25","강동구",496113.519094489,467542.103522984,516379.696517608
