기간,자치구,동,구분,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세이상
2020.1/4,합계,합계,계,10013781,300471,368576,374560,445921,686152,851977,756317,799598,746962,852317,804946,790811,716934,510721,395601,297806,182742,83999,31882,9043,6445
2020.1/4,합계,합계,한국인,9733655,293552,361582,370250,440099,643205,818007,726296,775366,727436,830692,778235,758879,699596,506103,393898,297130,182314,83783,31797,9012,6423
2020.1/4,합계,합계,외국인,280126,6919,6994,4310,5822,42947,33970,30021,24232,19526,21625,26711,31932,17338,4618,1703,676,428,216,85,31,22
2020.1/4,종로구,소계,계,161984,3563,4784,5234,6929,14640,14241,11025,10882,10515,13526,13372,13509,11691,8299,6783,5883,3907,1905,755,280,261
2020.1/4,종로구,소계,한국인,151217,3441,4618,5124,6446,10887,12585,10090,10200,9908,13027,12835,12901,11300,8189,6720,5860,3894,1898,753,280,261
2020.1/4,종로구,소계,외국인,10767,122,166,110,483,3753,1656,935,682,607,499,537,608,391,110,63,23,13,7,2,-,-
2020.1/4,종로구,사직동,계,9841,255,382,366,360,534,758,733,756,736,834,805,788,716,468,409,383,296,153,71,20,18
2020.1/4,종로구,사직동,한국인,9553,248,370,358,352,524,738,697,708,691,809,783,767,703,465,404,381,294,152,71,20,18
2020.1/4,종로구,사직동,외국인,288,7,12,8,8,10,20,36,48,45,25,22,21,13,3,5,2,2,1,-,-,-
2020.1/4,종로구,삼청동,계,2993,60,84,124,114,170,190,192,243,221,217,211,235,253,187,162,136,97,58,23,7,9
2020.1/4,종로구,삼청동,한국인,2749,49,63,108,104,164,186,170,214,187,199,201,221,228,175,154,135,95,57,23,7,9
2020.1/4,종로구,삼청동,외국인,244,11,21,16,10,6,4,22,29,34,18,10,14,25,12,8,1,2,1,-,-,-
2020.1/4,종로구,부암동,계,10597,230,381,451,506,766,825,699,717,719,976,909,839,780,512,461,347,271,120,55,23,10
2020.1/4,종로구,부암동,한국인,10164,229,381,450,499,650,737,599,660,692,969,898,831,778,509,457,347,271,120,54,23,10
2020.1/4,종로구,부암동,외국인,433,1,-,1,7,116,88,100,57,27,7,11,8,2,3,4,-,-,-,1,-,-
2020.1/4,종로구,평창동,계,18768,509,694,721,967,1269,1297,1053,1255,1199,1633,1692,1691,1453,980,770,655,478,272,115,41,24
2020.1/4,종로구,평창동,한국인,18609,507,690,717,964,1264,1287,1041,1240,1179,1622,1675,1671,1432,972,768,653,476,271,115,41,24
2020.1/4,종로구,평창동,외국인,159,2,4,4,3,5,10,12,15,20,11,17,20,21,8,2,2,2,1,-,-,-
2020.1/4,종로구,무악동,계,8767,298,450,499,540,495,459,442,566,686,920,716,682,576,426,351,296,209,90,39,11,16
2020.1/4,종로구,무악동,한국인,8720,296,447,498,539,494,456,435,563,683,907,712,677,575,426,351,296,209,90,39,11,16
2020.1/4,종로구,무악동,외국인,47,2,3,1,1,1,3,7,3,3,13,4,5,1,-,-,-,-,-,-,-,-
2020.1/4,종로구,교남동,계,10750,456,456,434,440,600,733,864,977,882,1033,844,773,657,492,413,323,220,90,35,13,15
2020.1/4,종로구,교남동,한국인,10603,452,452,426,436,596,723,841,954,866,1022,830,763,648,490,410,322,220,90,34,13,15
2020.1/4,종로구,교남동,외국인,147,4,4,8,4,4,10,23,23,16,11,14,10,9,2,3,1,-,-,1,-,-
2020.1/4,종로구,가회동,계,4464,80,136,168,183,238,263,267,350,354,443,378,341,333,269,233,211,108,64,30,5,10
2020.1/4,종로구,가회동,한국인,4361,78,136,167,181,233,259,255,339,338,431,367,331,322,264,232,211,108,64,30,5,10
