"자치구","도로"
"종로구","2,369,772.2"
"중구","2,148,274.5"
"용산구","2,481,085.2"
"성동구","2,256,408.1"
"광진구","2,495,694.1"
"동대문구","2,637,075.5"
"중랑구","2,845,217.9"
"성북구","2,724,129.9"
"강북구","2,000,479.6"
"도봉구","2,083,239.8"
"노원구","2,823,777.1"
"은평구","2,908,089.5"
"서대문구","2,157,129.3"
"마포구","3,473,093.3"
"양천구","3,108,671.2"
"강서구","3,994,519.8"
"구로구","2,858,066.6"
"금천구","2,022,988.0"
"영등포구","4,272,735.5"
"동작구","2,351,050.7"
"관악구","2,607,929.2"
"서초구","6,263,941.8"
"강남구","6,700,039.0"
"송파구","5,964,445.4"
"강동구","3,729,538.4"
