"","구","price","univ","business","logis","park_lot","school"
"1","강남구","118.801","3.0","71373","255893","390191","120.0"
"2","강동구","116.66","1.0","29772","114448","167853","93.0"
"3","강북구","114.084","2.0","18918","83831","89173","59.0"
"4","강서구","117.699","4.0","38524","170268","260730","138.0"
"5","관악구","114.35299999999999","3.0","26105","72107","151070","91.0"
"6","광진구","116.399","4.0","24535","99408","129859","78.0"
"7","구로구","114.38500000000001","3.0","38553","318487","178806","90.0"
"8","금천구","114.529","1.0","32472","328702","119994","54.0"
"9","노원구","114.23","6.0","26616","164758","175831","163.0"
"10","도봉구","112.355","1.0","18894","53923","112583","73.0"
"11","동대문구","116.614","6.0","31878","160875","135626","78.0"
"12","동작구","119.54300000000001","5.0","19916","23288","128893","80.0"
"13","마포구","120.40600000000001","2.0","37232","77831","179349","71.0"
"14","서대문구","114.297","8.0","19796","80282","115993","66.0"
"15","서초구","117.693","7.0","46540","310321","277211","80.0"
"16","성동구","119.92","3.0","27868","91378","121228","71.0"
"17","성북구","114.619","8.0","23287","87861","155244","110.0"
"18","송파구","117.008","1.0","47772","349032","305199","140.0"
"19","양천구","114.78400000000001","0.0","26126","149357","162040","107.0"
"20","영등포구","117.012","3.0","42589","342134","170574","83.0"
"21","용산구","121.27800000000001","3.0","20813","281000","113341","47.0"
"22","은평구","114.075","1.0","24873","142095","159015","113.0"
"23","종로구","114.339","8.0","39952","133876","94485","60.0"
"24","중구","114.137","3.0","60957","824458","108240","48.0"
"25","중랑구","113.229","2.0","28024","98711","127195","78.0"
