기간	구분	15세이상인구	15세이상인구	15세이상인구	15세이상인구	15세이상인구	15세이상인구	15세이상인구	15세이상인구	15세이상인구	15세이상인구	15세이상인구	15세이상인구	15세이상인구	15세이상인구	15세이상인구
기간	구분	15세이상인구	15세이상인구	15세이상인구	경제활동인구	경제활동인구	경제활동인구	경제활동인구	경제활동인구	경제활동인구	경제활동인구	경제활동인구	경제활동인구	비경제활동인구	비경제활동인구	비경제활동인구
기간	구분	15세이상인구	15세이상인구	15세이상인구	경제활동인구	경제활동인구	경제활동인구	취업자	취업자	취업자	실업자	실업자	실업자	비경제활동인구	비경제활동인구	비경제활동인구
기간	구분	소계	남자	여자	소계	남자	여자	소계	남자	여자	소계	남자	여자	소계	남자	여자
2018.01	서울시	8,540	4,085	4,456	5,341	2,956	2,385	5,105	2,830	2,275	237	126	110	3,199	1,129	2,070
2018.02	서울시	8,538	4,083	4,455	5,344	2,946	2,398	5,060	2,797	2,263	284	149	135	3,194	1,137	2,057
2018.03	서울시	8,534	4,079	4,455	5,381	2,976	2,404	5,083	2,799	2,284	298	178	121	3,153	1,103	2,050
2018.04	서울시	8,533	4,078	4,454	5,363	2,952	2,412	5,098	2,806	2,291	266	145	120	3,169	1,127	2,043
2018.05	서울시	8,530	4,076	4,454	5,381	2,966	2,415	5,097	2,801	2,296	285	165	120	3,149	1,110	2,039
2018.06	서울시	8,528	4,075	4,454	5,382	2,956	2,426	5,124	2,805	2,318	258	151	107	3,147	1,119	2,028
2018.07	서울시	8,522	4,072	4,451	5,355	2,929	2,426	5,102	2,782	2,321	253	148	105	3,167	1,142	2,025
2018.08	서울시	8,516	4,068	4,448	5,330	2,914	2,416	5,066	2,762	2,305	264	152	112	3,186	1,154	2,032
2018.09	서울시	8,510	4,065	4,446	5,311	2,893	2,419	5,050	2,754	2,296	262	139	123	3,199	1,172	2,027
2018.10	서울시	8,504	4,061	4,443	5,277	2,874	2,403	5,055	2,760	2,295	222	114	108	3,227	1,187	2,040
2018.11	서울시	8,497	4,057	4,440	5,291	2,888	2,403	5,089	2,780	2,308	202	107	95	3,207	1,169	2,037
2018.12	서울시	8,492	4,055	4,438	5,259	2,888	2,370	5,036	2,751	2,284	223	137	86	3,234	1,166	2,068
2019.01	서울시	8,485	4,048	4,437	5,244	2,889	2,355	4,977	2,738	2,238	268	151	117	3,241	1,159	2,081
2019.02	서울시	8,487	4,051	4,436	5,236	2,882	2,354	4,958	2,735	2,223	278	147	131	3,251	1,169	2,082
2019.03	서울시	8,483	4,049	4,435	5,275	2,901	2,373	4,982	2,739	2,243	293	162	131	3,209	1,147	2,061
2019.04	서울시	8,481	4,047	4,434	5,329	2,921	2,408	5,052	2,761	2,291	277	160	117	3,152	1,126	2,026
2019.05	서울시	8,475	4,043	4,432	5,368	2,948	2,420	5,107	2,789	2,319	261	160	101	3,108	1,095	2,013
2019.06	서울시	8,473	4,042	4,431	5,368	2,942	2,426	5,134	2,800	2,335	234	143	92	3,105	1,100	2,005
2019.07	서울시	8,475	4,043	4,432	5,389	2,958	2,432	5,153	2,824	2,329	236	133	103	3,086	1,085	2,001
2019.08	서울시	8,474	4,041	4,433	5,337	2,925	2,412	5,132	2,804	2,329	205	121	84	3,137	1,116	2,021
2019.09	서울시	8,474	4,040	4,434	5,345	2,904	2,441	5,151	2,793	2,357	194	110	84	3,130	1,137	1,993
2019.10	서울시	8,475	4,040	4,435	5,335	2,886	2,449	5,143	2,775	2,367	192	110	82	3,141	1,154	1,986
2019.11	서울시	8,475	4,039	4,436	5,311	2,878	2,433	5,129	2,767	2,362	182	111	71	3,164	1,162	2,003
2019.12	서울시	8,477	4,041	4,437	5,295	2,849	2,446	5,117	2,758	2,359	177	91	87	3,183	1,192	1,991
2020.01	서울시	8,482	4,041	4,441	5,313	2,856	2,457	5,089	2,749	2,340	224	107	117	3,170	1,186	1,984
2020.02	서울시	8,492	4,046	4,446	5,330	2,870	2,460	5,103	2,752	2,351	227	119	109	3,162	1,176	1,986
2020.03	서울시	8,499	4,048	4,451	5,282	2,863	2,419	5,017	2,728	2,289	265	135	130	3,217	1,185	2,032
