기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
기간	자치구	동	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적
기간	자치구	동	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적
2018	합계	합계	460	4,814,325	26,179,155	59	644,948	5,238,365	30	943,768	4,069,380	21	311,377	2,791,165	38	761,771	4,107,494	10	202,375	1,534,047	302	1,950,086	8,438,705
2018	종로구	소계	12	133,876	444,978	-	-	-	-	-	-	2	16,256	168,311	-	-	-	-	-	-	10	117,620	276,667
2018	종로구	종로1.2.3.4가동	6	54,063	333,469	-	-	-	-	-	-	2	16,256	168,311	-	-	-	-	-	-	4	37,807	165,158
2018	종로구	종로5·6가동	3	71,445	83,436	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	71,445	83,436
2018	종로구	창신1동	1	3,660	9,625	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,660	9,625
2018	종로구	창신3동	1	3,394	16,755	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,394	16,755
2018	종로구	숭인2동	1	1,314	1,693	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,314	1,693
2018	중구	소계	53	824,458	4,311,058	2	31,231	408,605	3	129,806	257,042	2	21,856	520,932	8	135,336	402,147	-	-	-	38	506,229	2,722,332
2018	중구	소공동	3	91,251	409,292	-	-	-	2	73,857	125,379	-	-	-	-	-	-	-	-	-	1	17,394	283,913
2018	중구	회현동	9	180,925	385,405	1	11,087	26,069	1	55,949	131,663	-	-	-	2	24,161	71,920	-	-	-	5	89,728	155,754
2018	중구	명동	6	58,072	125,261	-	-	-	-	-	-	-	-	-	1	5,836	27,421	-	-	-	5	52,237	97,840
2018	중구	광희동	12	239,024	647,640	-	-	-	-	-	-	-	-	-	4	99,940	285,634	-	-	-	8	139,084	362,006
2018	중구	을지로동	2	28,542	47,900	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	28,542	47,900
2018	중구	황학동	3	62,128	789,595	1	20,144	382,536	-	-	-	-	-	-	-	-	-	-	-	-	2	41,984	407,059
2018	중구	신당동	16	152,290	784,213	-	-	-	-	-	-	2	21,856	520,932	1	5,399	17,173	-	-	-	13	125,035	246,109
2018	중구	약수동	2	12,225	1,121,752	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	12,225	1,121,752
2018	용산구	소계	15	281,000	949,149	2	14,165	27,557	1	17,898	276,688	5	139,598	230,512	3	97,992	298,680	-	-	-	4	11,347	115,712
2018	용산구	원효로2동	1	8,382	16,442	-	-	-	-	-	-	1	8,382	16,442	-	-	-	-	-	-	-	-	-
2018	용산구	이태원1동	2	4,322	9,874	-	-	-	-	-	-	-	-	-	1	3,748	5,390	-	-	-	1	574	4,484
2018	용산구	서빙고동	1	2,948	16,602	-	-	-	-	-	-	-	-	-	1	2,948	16,602	-	-	-	-	-	-
2018	용산구	보광동	1	2,688	3,352	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,688	3,352
2018	용산구	청파동	1	1,209	2,460	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,209	2,460
2018	용산구	한강로동	9	261,451	900,419	2	14,165	27,557	1	17,898	276,688	4	131,216	214,070	1	91,296	276,688	-	-	-	1	6,876	105,416
2018	성동구	소계	13	91,378	598,746	2	26,084	198,358	-	-	-	1	27,129	31,845	-	-	-	1	13,997	142,038	9	24,168	226,505
2018	성동구	마장동	1	2,972	11,166	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,972	11,166
2018	성동구	행당1동	3	33,529	339,951	1	11,572	98,956	-	-	-	-	-	-	-	-	-	1	13,997	142,038	1	7,960	98,957
2018	성동구	행당2동	2	7,266	40,607	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	7,266	40,607
2018	성동구	성수2가1동	2	16,501	104,543	1	14,512	99,402	-	-	-	-	-	-	-	-	-	-	-	-	1	1,989	5,141
2018	성동구	성수2가3동	1	898	3,334	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	898	3,334
2018	성동구	용답동	1	27,129	31,845	-	-	-	-	-	-	1	27,129	31,845	-	-	-	-	-	-	-	-	-
2018	성동구	왕십리도선동	1	365	63,861	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	365	63,861
2018	성동구	금호2.3가동	1	1,156	1,284	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,156	1,284
2018	성동구	옥수동	1	1,562	2,155	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,562	2,155
2018	광진구	소계	19	99,408	822,946	2	14,314	313,848	1	27,017	88,630	-	-	-	-	-	-	-	-	-	16	58,077	420,468
2018	광진구	화양동	1	2,457	12,162	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,457	12,162
2018	광진구	군자동	1	1,946	36,295	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,946	36,295
2018	광진구	중곡1동	2	3,314	4,300	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	3,314	4,300
2018	광진구	중곡4동	1	1,047	1,607	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,047	1,607
2018	광진구	구의2동	1	674	2,293	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	674	2,293
2018	광진구	구의3동	5	39,579	577,878	1	3,710	259,731	-	-	-	-	-	-	-	-	-	-	-	-	4	35,870	318,147
2018	광진구	광장동	1	1,829	5,440	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,829	5,440
2018	광진구	자양2동	2	1,577	27,069	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1,577	27,069
2018	광진구	자양3동	2	37,621	142,747	1	10,604	54,117	1	27,017	88,630	-	-	-	-	-	-	-	-	-	-	-	-
2018	광진구	자양4동	3	9,364	13,155	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	9,364	13,155
2018	동대문구	소계	22	160,875	771,692	2	18,463	220,971	1	33,839	177,793	3	25,815	75,102	-	-	-	-	-	-	16	82,758	297,826
2018	동대문구	회기동	1	1,550	22,485	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,550	22,485
2018	동대문구	휘경1동	1	-	2,820	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	2,820
2018	동대문구	청량리동	1	17,588	65,161	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	17,588	65,161
2018	동대문구	용신동	5	27,430	94,882	1	9,797	43,178	-	-	-	1	6,986	37,290	-	-	-	-	-	-	3	10,647	14,414
