기간	자치구	전체	전체	전체	전체	전체	비사업용차량	비사업용차량	비사업용차량	비사업용차량	비사업용차량	사업용차량	사업용차량	사업용차량	사업용차량	사업용차량
기간	자치구	계	승용차	승합차	화물차	특수차	계	승용차	승합차	화물차	특수차	계	승용차	승합차	화물차	특수차
2018	전체	36.3	32.7	54.5	56.3	61.4	31.8	30.2	37.1	44	30.4	101.8	85.6	177.1	116.8	87.6
2018	종로구	34	30.6	44.1	48.5	82.8	30.9	30	29.8	39.8	10.3	123.7	83	193.5	107.1	237
2018	중구	38.6	33.2	49.5	57.7	172.4	33.5	30.7	44.7	45.3	17.6	81.9	64.1	93.7	95.1	286.9
2018	용산구	32.9	30.6	37.3	50.8	30.6	31	29.6	34.8	42.7	27.6	91.8	81.5	124.1	100.8	74.3
2018	성동구	37.8	34.6	51.5	57.2	47.8	32.1	29.9	36.6	47.3	37.6	93.8	85.2	140.4	119.9	56.2
2018	광진구	36.4	32.7	60.7	53.9	56.6	32.3	30.6	36.7	45.2	42.9	100.9	83	180.8	110.4	59.4
2018	동대문구	35.4	31.9	40.3	54.7	44	31.5	29.5	35.9	43.3	41.1	103.4	95.9	135.6	113.6	45.8
2018	중랑구	38.5	34.6	51.8	55.9	45.8	32.9	30.8	38	45	37.1	105.4	101.4	178.1	105.3	48.3
2018	성북구	34.1	30.6	63.2	50.7	36.6	30.1	28.8	35.6	41.5	29.6	119	103.8	181.8	104.9	40
2018	강북구	35.9	32.2	60.7	48.6	32.3	30.9	29.2	35.3	41.4	29	111.6	101.6	189.7	95.6	34.3
2018	도봉구	36.8	33.6	54.7	53	45.6	31.4	29.7	37	43.3	39.8	111	107	196.7	103.3	48.4
2018	노원구	35.3	32.7	56.2	51.5	44.6	31.1	29.7	36.4	43.9	44	109.5	105.9	180	97.3	44.8
2018	은평구	35.5	32.2	60.7	51.2	43	31.2	29.8	36.4	42.5	33.4	116.4	104.9	221.5	102.8	46.9
2018	서대문구	35.7	31.7	51.6	61.4	71.8	30.7	29.2	37.7	41.7	37.6	119.1	101.3	174.9	135.4	86.3
2018	마포구	35.7	31.8	58.6	57.5	36.5	31.7	29.9	37.1	45.7	20.5	99.1	78.1	156.7	118.3	55.7
2018	양천구	35.7	32	55	57.3	139.3	31.2	29.9	36	42.1	35	124.6	104.1	188.8	130.7	159.7
2018	강서구	38.7	34.3	75.7	59.6	44	32.9	31.2	40.6	44.9	32.7	109.8	84.1	243.1	133.6	51
2018	구로구	38.9	35.4	49.9	59	53.7	32.9	30.9	39.4	45.2	37.4	90.6	78.3	143.7	131.7	63.9
2018	금천구	39.4	35.3	49.7	56.2	41.9	35.4	33.1	39.2	47	34.3	94.7	82.7	175.2	99.5	46.5
2018	영등포구	37.6	32.8	42.7	61.7	92.3	32.7	30.8	37.5	44.4	39.7	103	79.2	114.7	123.8	137
2018	동작구	32.2	30.1	40.7	49.7	54.8	30.3	29	36.2	42.4	49.6	103.8	112	154.9	97.7	57.4
2018	관악구	34.4	32.1	40	51.1	29.5	31.3	30.1	36	41.2	22.7	105.6	107.7	152.3	104.5	46.5
2018	서초구	35.6	31.2	56.1	72.5	47.9	30.9	29.9	35.8	44.7	17.1	94.9	59.6	170.5	131.5	159.5
2018	강남구	35.7	33.3	55.2	58.4	97.5	31.2	30	36.7	46.2	32.3	79.2	67.8	141.3	146.2	194.1
2018	송파구	35.8	32.1	68.1	54.6	52.7	31.7	30.4	37.1	42	54.3	109.7	87.1	187.3	117.4	52
2018	강동구	37.7	34.4	53.9	57.1	50.9	33.4	31.5	39.2	46.8	50	110.3	103.9	167.3	114.5	51.2
