기간	자치구	전체	전체	전체	전체	전체	비사업용차량	비사업용차량	비사업용차량	비사업용차량	비사업용차량	사업용차량	사업용차량	사업용차량	사업용차량	사업용차량
기간	자치구	계	승용차	승합차	화물차	특수차	계	승용차	승합차	화물차	특수차	계	승용차	승합차	화물차	특수차
2018	전체	41,297,378	31,580,803	2,515,433	7,002,320	198,823	33,873,736	27,779,611	1,502,960	4,546,211	44,954	7,423,642	3,801,192	1,012,473	2,456,108	153,869
2018	종로구	620,584	444,511	68,173	102,238	5,663	545,108	429,614	42,079	72,935	480	75,476	14,897	26,093	29,303	5,182
2018	중구	697,498	466,217	66,921	151,599	12,762	542,979	398,258	54,530	89,638	553	154,519	67,959	12,391	61,961	12,209
2018	용산구	854,238	674,735	35,822	137,398	6,282	779,060	642,225	32,462	99,053	5,320	75,178	32,510	3,360	38,345	963
2018	성동구	1,466,139	1,134,458	73,786	254,041	3,854	1,126,222	898,455	44,901	181,486	1,380	339,917	236,003	28,885	72,556	2,474
2018	광진구	1,314,606	993,951	91,182	224,757	4,716	1,099,534	889,867	45,941	163,121	606	215,072	104,084	45,241	61,636	4,111
2018	동대문구	1,257,187	923,046	62,741	268,373	3,028	1,055,068	822,869	53,374	177,743	1,082	202,120	100,177	9,367	90,631	1,945
2018	중랑구	1,590,690	1,154,505	101,927	327,061	7,196	1,254,798	970,609	67,319	215,518	1,352	335,892	183,896	34,609	111,543	5,845
2018	성북구	1,478,748	1,131,686	134,456	210,497	2,110	1,246,951	1,037,766	61,407	147,208	569	231,797	93,920	73,048	63,289	1,540
2018	강북구	1,026,976	754,549	96,505	173,982	1,941	830,051	654,277	46,933	128,150	690	196,925	100,272	49,571	45,832	1,250
2018	도봉구	1,312,738	1,003,916	84,076	221,039	3,707	1,044,363	841,525	50,595	151,202	1,042	268,375	162,392	33,482	69,836	2,666
2018	노원구	2,045,064	1,643,161	129,354	266,943	5,607	1,699,617	1,431,556	72,125	194,705	1,232	345,447	211,605	57,230	72,238	4,375
2018	은평구	1,705,643	1,311,100	130,211	260,339	3,993	1,426,896	1,173,024	67,738	185,246	887	278,747	138,076	62,473	75,093	3,106
2018	서대문구	1,135,867	857,908	70,752	200,144	7,062	918,200	763,344	46,486	107,264	1,106	217,666	94,565	24,266	92,880	5,956
2018	마포구	1,530,262	1,159,544	97,936	269,252	3,530	1,278,912	1,048,110	50,829	178,891	1,082	251,350	111,434	47,107	90,361	2,448
2018	양천구	2,001,499	1,538,439	109,678	326,329	27,053	1,662,086	1,399,073	62,891	199,012	1,110	339,413	139,366	46,787	127,317	25,943
2018	강서구	2,872,362	2,165,792	223,809	475,946	6,816	2,257,860	1,857,536	99,372	299,015	1,937	614,502	308,256	124,437	176,931	4,878
2018	구로구	2,110,650	1,598,566	127,305	378,814	5,966	1,595,092	1,258,842	90,341	244,300	1,609	515,558	339,723	36,964	134,514	4,357
2018	금천구	1,229,060	864,321	84,032	278,509	2,198	1,027,372	773,388	61,134	192,167	683	201,688	90,933	22,898	86,342	1,515
2018	영등포구	1,941,560	1,378,340	92,855	437,607	32,758	1,573,526	1,244,668	76,049	246,329	6,479	368,034	133,672	16,806	191,278	26,279
2018	동작구	1,254,096	1,021,797	56,678	169,144	6,477	1,147,030	971,284	48,604	125,172	1,971	107,066	50,513	8,075	43,972	4,506
2018	관악구	1,540,689	1,218,180	74,622	240,237	7,650	1,341,996	1,109,252	64,859	163,705	4,180	198,693	108,927	9,763	76,533	3,469
2018	서초구	2,326,016	1,791,850	100,416	421,508	12,243	1,871,404	1,637,016	54,388	176,568	3,432	454,612	154,834	46,028	244,940	8,811
2018	강남구	2,990,439	2,524,597	121,702	330,755	13,386	2,365,495	2,066,769	66,530	229,545	2,651	624,944	457,828	55,173	101,209	10,735
2018	송파구	3,120,790	2,377,018	181,714	554,710	7,348	2,618,688	2,182,802	78,463	355,062	2,361	502,101	194,216	103,250	199,648	4,986
2018	강동구	1,873,977	1,448,616	98,783	321,098	5,481	1,565,427	1,277,479	63,612	223,178	1,158	308,549	171,136	35,171	97,920	4,322
