기간	자치구	합계	합계	합계	합계	합계	합계	노상	노상	노상	노상	노상	노상	노외	노외	노외	노외	노외	노외	노외	노외	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설
기간	자치구	계	계	공영	공영	민영	민영	계	계	시영	시영	구영	구영	계	계	시영	시영	구영	구영	민영	민영	계	계	일반주택	일반주택	공동주택	공동주택	일반건축물	일반건축물
기간	자치구	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수
2018	서울시	306,438	4,129,723	9,838	193,859	296,600	3,935,864	8,767	121,810	75	2,219	8,692	119,591	2,045	110,172	64	15,409	1,007	56,640	974	38,123	295,626	3,897,741	121,716	296,633	82,675	2,120,044	91,235	1,481,064
2018	종로구	7,414	94,485	190	6,146	7,224	88,339	157	2,394	11	400	146	1,994	105	6,314	5	2,685	28	1,067	72	2,562	7,152	85,777	2,899	6,723	1,524	22,998	2,729	56,056
2018	중구	4,227	108,240	183	5,558	4,044	102,682	149	1,629	20	401	129	1,228	101	6,943	4	2,006	30	1,923	67	3,014	3,977	99,668	870	2,299	693	27,652	2,414	69,717
2018	용산구	7,058	113,341	404	6,511	6,654	106,830	367	3,649	2	21	365	3,628	61	3,310	4	856	33	2,006	24	448	6,630	106,382	2,491	6,743	2,089	60,203	2,050	39,436
2018	성동구	6,222	121,228	560	7,567	5,662	113,661	527	5,069	2	57	525	5,012	71	3,683	-	-	33	2,498	38	1,185	5,624	112,476	2,223	4,868	866	66,485	2,535	41,123
2018	광진구	16,382	129,859	409	5,979	15,973	123,880	363	3,426	1	18	362	3,408	68	3,261	-	-	46	2,553	22	708	15,951	123,172	8,728	21,964	3,552	55,349	3,671	45,859
2018	동대문구	9,375	135,626	59	6,751	9,316	128,875	29	4,471	2	134	27	4,337	47	2,754	2	159	28	2,121	17	474	9,299	128,401	3,929	9,010	1,653	72,674	3,717	46,717
2018	중랑구	18,644	127,195	572	12,121	18,072	115,074	516	7,464	1	63	515	7,401	96	6,193	2	417	54	4,240	40	1,536	18,032	113,538	6,193	13,772	2,956	67,093	8,883	32,673
2018	성북구	12,965	155,244	201	7,269	12,764	147,975	125	5,695	1	26	124	5,669	164	3,762	1	21	75	1,553	88	2,188	12,676	145,787	5,963	14,948	3,011	91,486	3,702	39,353
2018	강북구	10,830	89,173	62	5,416	10,768	83,757	23	3,162	1	21	22	3,141	57	2,688	-	-	39	2,254	18	434	10,750	83,323	5,373	10,995	3,322	53,042	2,055	19,286
2018	도봉구	9,703	112,583	501	6,015	9,202	106,568	460	3,535	-	-	460	3,535	61	3,028	4	1,111	37	1,369	20	548	9,182	106,020	4,316	10,046	2,894	71,832	1,972	24,142
2018	노원구	6,630	175,831	181	3,992	6,449	171,839	146	2,292	2	123	144	2,169	51	2,676	4	404	31	1,296	16	976	6,433	170,863	2,412	7,640	1,696	121,503	2,325	41,720
