"번호","사업장명","소재지전체주소","도로명전체주소","개업일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","사업개시예정일","사업구분명","인가상태명","전화번호","위치정보(X)","위치정보(Y)","상세영업상태명"
"1","광호주유소","서울특별시 서대문구 홍은동 431번지 ","서울특별시 서대문구 연희로 266 (홍은동)","20040518","운영중","","","","","1577","","20040518","주유소","","000203957236","194398.29051400000  ","453470.34701700000  ","신규등록"
"2","(주)안국에너지 삼보주유소","서울특별시 서대문구 연희동 194-32번지 ","서울특별시 서대문구 연희로 78 (연희동)","20040518","운영중","","","","","1074.4","","20040518","주유소","","000203356152","193809.33947100000  ","451723.32357300000  ","신규등록"
"3","(주)중앙에너비스동교지점","서울특별시 서대문구 창천동 512-3번지 ","서울특별시 서대문구 연희로 12 (창천동)","20040518","운영중","","","","","567.6","","20131130","주유소","","000203364535","193536.82510800000  ","451151.41577200000  ","영업개시"
"4","연희주유소","서울특별시 서대문구 연희동 89-7번지 ","서울특별시 서대문구 연희로 129 (연희동)","19750407","운영중","","","","","988.4","","19750407","주유소","","000203388045","194041.30822300000  ","452198.57049700000  ","신규등록"
"5","삼미상사(주) 서부주유소","서울특별시 서대문구 연희동 446-4번지 ","서울특별시 서대문구 성산로 255 (연희동)","20040519","운영중","","","","","1260","","20040519","주유소","","000203344919","192842.78403800000  ","452026.10821600000  ","신규등록"
"6","홍제동주유소","서울특별시 서대문구 홍제동 22-3번지 ","서울특별시 서대문구 통일로 372 (홍제동)","19750315","운영중","","20110101","20110630","20110401","826","","20110401","주유소","","000207363708","195592.68395900000  ","453778.64330100000  ","휴지사업재개"
"7","행촌 제2주유소","서울특별시 서대문구 대신동 16-7번지 ","서울특별시 서대문구 성산로 490 (대신동)","19930616","운영중","","20131126","20140101","","759.3","","20140103","주유소","","000203622156","194837.46951700000  ","451277.68968500000  ","영업개시"
"8","(주)마봉 신우주유소","서울특별시 서대문구 홍은동 379-6번지 ","서울특별시 서대문구 가좌로 106 (홍은동)","20040519","운영중","","20140801","20141231","20120224","709","","20141008","주유소","","000203045522","193525.03895100000  ","453637.10482800000  ","영업개시"
"9","남정주유소","서울특별시 서대문구 남가좌동 329-34번지 ","서울특별시 서대문구 모래내로 243 (남가좌동)","20040519","운영중","","","","","332.2","","20040519","주유소","","000203059828","193420.60032200000  ","452905.34719700000  ","신규등록"
"10","(주)창원현대주유소","서울특별시 서대문구 홍은동 171-5번지 ","서울특별시 서대문구 통일로 537 (홍은동)","20040517","운영중","","","","","947","","20130603","주유소","","000232160829","194665.09405300000  ","455099.75549100000  ","신규등록"
"11","(주)창원현대에너지 홍제지점 현대주유소","서울특별시 서대문구 홍제동 330-61번지 ","서울특별시 서대문구 통일로 455 (홍제동)","20040517","운영중","","","","","415.37","","20040517","주유소","","000203790753","195023.19449700000  ","454397.83028600000  ","신규등록"
"12","KH에너지(주) 직영 독립문주유소","서울특별시 서대문구 홍제동 103-9번지 ","서울특별시 서대문구 통일로 384 (홍제동)","19750315","운영중","","","","","857.16","","20040518","주유소","","000207350333","195542.70429600000  ","453886.16146100000  ","신규등록"
"13","문화촌주유소","서울특별시 서대문구 홍제동 279-43번지 ","서울특별시 서대문구 세검정로 87 (홍제동)","19930921","운영중","","","","","617","","19941024","주유소","","02 3954300","195449.92427300000  ","455101.42119200000  ","신규등록"
"14","구도일주유소 두꺼비","서울특별시 서대문구 연희동 220-55번지 ","서울특별시 서대문구 성산로 312 (연희동)","19750308","운영중","","20130301","20130630","","1235","","19750308","주유소","","02  336 0611","193368.76314700000  ","451840.15738400000  ","영업개시"
"15","연세주유소","서울특별시 서대문구 연희동 76-11번지 ","서울특별시 서대문구 연희로 184 (연희동)","19930616","운영중","","","","","482","","19940216","주유소","","02  337 8220","194339.94624900000  ","452661.19550400000  ","신규등록"
"16","㈜가재울뉴타운주유소","서울특별시 서대문구 남가좌동 80-26번지 ","서울특별시 서대문구 모래내로 205 (남가좌동)","20130410","운영중","","","","","410","","20130418","주유소","","","193150.56800500000  ","452637.96087000000  ","영업개시"
"17","수색뉴타운 주유소","서울특별시 은평구 수색동 314-1번지 ","서울특별시 은평구 수색로 350 (수색동)","19800319","운영중","","","","","886","","19801019","주유소","","02 3028583","190074.21732800000  ","454191.18404700000  ","신규등록"
"18","녹번주유소","서울특별시 은평구 녹번동 59-1번지 ","서울특별시 은평구 통일로 600 (녹번동)","19760527","운영중","","","","","657","","19770227","주유소","","02 3855001","194384.23653900000  ","455673.32229200000  ","신규등록"
"19","대성주유소","서울특별시 은평구 녹번동 19-38번지 ","서울특별시 은평구 통일로 642 (녹번동)","19760511","운영중","","","","","1944","","19770211","주유소","","02 3553434","194297.95739000000  ","456055.14887300000  ","신규등록"
"20","은평뉴타운주유소","서울특별시 은평구 불광동 493번지 ","서울특별시 은평구 통일로 924 (불광동)","19760425","운영중","","","","","661","","19761125","주유소","","02 3550349","192982.49593600000  ","458417.75251300000  ","신규등록"
"21","박석고개주유소","서울특별시 은평구 갈현동 1-6번지 ","서울특별시 은평구 통일로 945 (갈현동)","19760521","운영중","","20100724","20101130","20110124","1962","","19761221","주유소","","02 3554956","192884.90698400000  ","458651.18123200000  ","휴지사업재개"
"22","서부주유소","서울특별시 은평구 응암동 576-39번지 ","서울특별시 은평구 응암로 210 (응암동)","19760430","운영중","","","","","1132","","19761130","주유소","","02 3026041","192739.97996500000  ","454589.31447900000  ","신규등록"
"23","성원E&S은평지점","서울특별시 은평구 진관동 240-27번지 ","서울특별시 은평구 통일로 968 (진관동)","20091001","운영중","","","","","745.4","","20091001","주유소","","3524451","192909.35938300000  ","458848.63879200000  ","신규등록"
"24","SK네트웍스(주) 은평드림주유소","서울특별시 은평구 진관동 73-22번지 ","서울특별시 은평구 통일로 1151 (진관동)","20100531","운영중","","","","","707.1","","20100607","주유소","","02 354 5182","192265.43202000000  ","460486.62963400000  ","신규등록"
"25","(주)에스지","서울특별시 은평구 신사동 338-4번지 ","서울특별시 은평구 증산로 371 (신사동)","20070905","운영중","","","","","1381.5","","20070910","주유소","","3735751","192304.42286700000  ","454444.39640000000  ","신규등록"
"26","뉴타운 셀프주유소","","서울특별시 은평구 통일로 1031 (진관동)","20170208","운영중","","","","","800","","20170211","주유소","","","192586              ","459147              ","영업개시"
"27","행운주유소","서울특별시 관악구 봉천동 1679-30번지 ","서울특별시 관악구 남부순환로 1883 (봉천동)","19921118","운영중","","20080227","20090630","20091113","663.11","","19950116","주유소","","02 8843016","196388.53746000000  ","442184.91696400000  ","휴지사업재개"
"28","(주)엠오티이엔지 직영 삼화주유소","서울특별시 관악구 봉천동 726-10번지 ","서울특별시 관악구 보라매로 41 (봉천동)","19930515","운영중","","","","","242","","19940715","주유소","","02 8885133","193519.55684000000  ","443754.46578500000  ","신규등록"
"29","SK네트웍스(주)하계주유소","서울특별시 노원구 하계동 243-3번지 ","서울특별시 노원구 노원로17길 29 (하계동)","20010324","운영중","","","","","1072","","20010324","주유소","","02 9751385","206212.39053400000  ","460290.75826400000  ","신규등록"
"30","신성주유소","서울특별시 노원구 월계동 295-4번지  29호 30호 ","서울특별시 노원구 월계로 328 (월계동 29호 30호)","20010324","운영중","","20090403","20090730","","1816","","20010324","주유소","","02 9164334","205064.60891700000  ","458800.36193300000  ","휴지사업재개"
