"gu","dong","lat","lng"
"종로구","청운동",37.5890286,126.9685157
"종로구","신교동",37.584442,126.9676997
"종로구","궁정동",37.5849071,126.9724095
"종로구","효자동",37.5827038,126.9718981
"종로구","창성동",37.580573,126.9723675
"종로구","통의동",37.5779984,126.9727225
"종로구","적선동",37.5752845,126.9739369
"종로구","통인동",37.5798178,126.9700651
"종로구","누상동",37.5802364,126.9623723
"종로구","누하동",37.5793623,126.9680055
"종로구","옥인동",37.5835524,126.9641935
"종로구","체부동",37.5778624,126.9710381
"종로구","필운동",37.5768799,126.967704
"종로구","내자동",37.575276,126.971827
"종로구","사직동",37.5753838,126.9658263
"종로구","도렴동",37.5727248,126.9746762
"종로구","당주동",37.5715788,126.9738252
"종로구","내수동",37.5733668,126.9721015
"종로구","세종로",37.5794898,126.9770085
"종로구","신문로1가",37.5703732,126.9740722
"종로구","신문로2가",37.5710316,126.9692509
"종로구","청진동",37.5715373,126.9802938
"종로구","서린동",37.569505,126.9803078
"종로구","수송동",37.5738606,126.9805797
"종로구","중학동",37.575195,126.9799523
"종로구","종로1가",37.5706982,126.980334
"종로구","공평동",37.5713261,126.9832335
"종로구","관훈동",37.5741579,126.9847959
"종로구","견지동",37.5737344,126.9830947
"종로구","와룡동",37.5809142,126.9927443
"종로구","권농동",37.576109,126.9917564
"종로구","운니동",37.576392,126.9883159
"종로구","익선동",37.574232,126.9897103
"종로구","경운동",37.5752459,126.9864008
"종로구","관철동",37.5691978,126.9859065
"종로구","인사동",37.5720605,126.9859554
"종로구","낙원동",37.5725546,126.9886246
"종로구","종로2가",37.5707645,126.9863062
"종로구","팔판동",37.5827295,126.9805795
"종로구","삼청동",37.5898785,126.9813798
"종로구","안국동",37.5774765,126.9838446
"종로구","소격동",37.5797855,126.981012
"종로구","화동",37.5806863,126.9826101
"종로구","사간동",37.5772363,126.9805779
"종로구","송현동",37.5770464,126.9819269
"종로구","가회동",37.5828064,126.9848647
"종로구","재동",37.5781586,126.9852528
"종로구","계동",37.5829045,126.9868772
"종로구","원서동",37.5841834,126.9880867
"종로구","훈정동",37.5742191,126.9940707
"종로구","묘동",37.5725522,126.9918438
"종로구","봉익동",37.572373,126.9930161
"종로구","돈의동",37.5720312,126.9906468
"종로구","장사동",37.5692358,126.9942544
"종로구","관수동",37.5690609,126.9904495
"종로구","종로3가",37.5703825,126.9923929
"종로구","인의동",37.5726289,126.9980205
"종로구","예지동",37.5695052,126.9984621
"종로구","원남동",37.575484,126.9976454
"종로구","연지동",37.5737459,127.0001194
"종로구","종로4가",37.5706899,126.9979792
"종로구","효제동",37.5733424,127.0034706
"종로구","종로5가",37.5707296,127.0033502
"종로구","종로6가",37.5722418,127.0072739
"종로구","이화동",37.5773254,127.0054705
"종로구","연건동",37.5784882,126.9996742
"종로구","충신동",37.574766,127.0059174
"종로구","동숭동",37.58161,127.0051704
"종로구","혜화동",37.587822,127.0023228
"종로구","명륜1가",37.5889535,126.9974079
"종로구","명륜2가",37.5846181,126.9991752
"종로구","명륜4가",37.5823905,126.999806
"종로구","명륜3가",37.5873096,126.9930707
"종로구","창신동",37.5760033,127.0135246
"종로구","숭인동",37.5766752,127.0190652
"종로구","교남동",37.5684349,126.9644739
"종로구","평동",37.5676735,126.9668353
"종로구","송월동",37.5701811,126.9653066
"종로구","홍파동",37.5711594,126.9641514
"종로구","교북동",37.5714262,126.9613042
"종로구","행촌동",37.5744857,126.9626521
"종로구","구기동",37.6179518,126.9621624
"종로구","평창동",37.6139675,126.9743016
"종로구","부암동",37.5934957,126.9672852
"종로구","홍지동",37.6005798,126.956785
"종로구","신영동",37.6030533,126.9618054
"종로구","무악동",37.5767914,126.9582275
"중구","무교동",37.5680651,126.9788674
"중구","다동",37.5678826,126.9811936
"중구","태평로1가",37.5675677,126.9773826
"중구","을지로1가",37.5659055,126.9805717
"중구","을지로2가",37.5657158,126.986263
"중구","남대문로1가",37.5675948,126.9831121
"중구","삼각동",37.5679302,126.9847933
"중구","수하동",37.5674173,126.984642
"중구","장교동",37.5674834,126.9870578
"중구","수표동",37.5674664,126.9894371
"중구","소공동",37.5638976,126.9799891
"중구","남창동",37.5580671,126.9775968
"중구","북창동",37.5624854,126.9782509
"중구","태평로2가",37.5632359,126.9764068
"중구","남대문로2가",37.5638636,126.9820397
"중구","남대문로3가",37.5616684,126.9794385
"중구","남대문로4가",37.5606911,126.9755026
"중구","남대문로5가",37.5563671,126.9763016
"중구","봉래동1가",37.5589096,126.9729614
"중구","봉래동2가",37.5567475,126.9713413
"중구","회현동1가",37.5571575,126.9816994
"중구","회현동2가",37.5585169,126.9827612
"중구","회현동3가",37.560059,126.9840941
"중구","충무로1가",37.5610267,126.9826398
"중구","충무로2가",37.5617555,126.9877459
"중구","명동1가",37.5644525,126.9844713
"중구","명동2가",37.5630105,126.9852881
"중구","남산동1가",37.5591789,126.9847188
"중구","남산동2가",37.5583248,126.9858848
"중구","남산동3가",37.5600001,126.9873836
"중구","저동1가",37.5642498,126.9878913
"중구","충무로4가",37.5623108,126.995975
"중구","충무로5가",37.5625808,126.9995908
"중구","인현동2가",37.5641432,126.9962711
"중구","예관동",37.5640814,126.9980377
"중구","묵정동",37.5614488,127.0005452
"중구","필동1가",37.561147,126.9924128
"중구","필동2가",37.5577913,126.9949767
"중구","필동3가",37.5577553,126.9973738
"중구","남학동",37.5605244,126.9909105
"중구","주자동",37.5606513,126.989397
"중구","예장동",37.5551793,126.9897761
"중구","장충동1가",37.5610374,127.0076398
"중구","장충동2가",37.55526,127.0003341
"중구","광희동1가",37.5650378,127.0051836
"중구","광희동2가",37.5639442,127.0083467
"중구","쌍림동",37.5637681,127.0045496
"중구","을지로6가",37.567505,127.0070795
"중구","을지로7가",37.566416,127.0095181
"중구","을지로4가",37.566393,126.9977069
"중구","을지로5가",37.5668186,127.0021802
"중구","주교동",37.5682735,126.998942
"중구","방산동",37.5685483,127.0031304
"중구","오장동",37.5644435,127.0010469
"중구","을지로3가",37.5665987,126.9924032
"중구","입정동",37.5677264,126.992771
"중구","산림동",37.5676122,126.9961709
"중구","충무로3가",37.5622482,126.9919612
"중구","초동",37.564601,126.9923477
"중구","인현동1가",37.5645365,126.9945521
"중구","저동2가",37.5643088,126.9899006
"중구","신당동",37.556819,127.0154305
"중구","흥인동",37.5676493,127.0160091
"중구","무학동",37.5642292,127.0152228
"중구","황학동",37.5685914,127.0204705
"중구","서소문동",37.5629167,126.9739582
"중구","정동",37.5661453,126.9733062
"중구","순화동",37.5623459,126.9708088
"중구","의주로1가",37.5637065,126.9684915
"중구","충정로1가",37.5668791,126.9680884
"중구","중림동",37.5591646,126.9655627
"중구","의주로2가",37.5606655,126.9695132
"중구","만리동1가",37.5558883,126.9669832
"중구","만리동2가",37.5542553,126.9643231
"용산구","후암동",37.5503851,126.9805049
"용산구","용산동2가",37.5430767,126.9858631
"용산구","용산동4가",37.5305892,126.9858834
"용산구","갈월동",37.5449357,126.9730564
"용산구","남영동",37.5428503,126.9733899
"용산구","용산동1가",37.5402662,126.976971
"용산구","동자동",37.5515203,126.9729154
"용산구","서계동",37.5526054,126.9665239
"용산구","청파동1가",37.5488937,126.9671721
"용산구","청파동2가",37.5462385,126.9666851
"용산구","청파동3가",37.5433004,126.9666026
"용산구","원효로1가",37.5399032,126.9675517
"용산구","원효로2가",37.5363505,126.9634639
"용산구","신창동",37.5358397,126.9549627
"용산구","산천동",37.5357089,126.9515061
"용산구","청암동",37.5342588,126.9468778
"용산구","원효로3가",37.5343201,126.9577323
"용산구","원효로4가",37.532933,126.9506456
"용산구","효창동",37.543576,126.9607221
"용산구","도원동",37.538784,126.9562609
"용산구","용문동",37.5377219,126.9597098
"용산구","문배동",37.5371288,126.9690034
"용산구","신계동",37.535453,126.9646994
"용산구","한강로1가",37.5358426,126.9730991
"용산구","한강로2가",37.5312807,126.9686035
"용산구","용산동3가",37.5321655,126.9762897
"용산구","용산동5가",37.5256032,126.9740049
"용산구","한강로3가",37.5280446,126.9632299
"용산구","이촌동",37.5188354,126.9651352
"용산구","이태원동",37.538862,126.9922782
"용산구","한남동",37.5374384,127.0060971
"용산구","동빙고동",37.5235803,126.995177
"용산구","서빙고동",37.5191265,126.991401
"용산구","주성동",37.5215716,127.0002868
"용산구","용산동6가",37.5168611,126.9842128
"용산구","보광동",37.5268849,127.0017003
"성동구","상왕십리동",37.5684665,127.0255499
"성동구","하왕십리동",37.5643661,127.0285933
"성동구","홍익동",37.5671038,127.0327203
"성동구","도선동",37.5634228,127.0332231
"성동구","마장동",37.5670762,127.0407445
"성동구","사근동",37.5589469,127.046752
"성동구","행당동",37.5591737,127.0352497
"성동구","응봉동",37.5505366,127.0348586
"성동구","금호동1가",37.5530419,127.0213783
"성동구","금호동2가",37.5525166,127.0217884
"성동구","금호동3가",37.5499287,127.0195552
"성동구","금호동4가",37.5452026,127.0229976
"성동구","옥수동",37.5420259,127.0219996
"성동구","성수동1가",37.5431193,127.0416554
"성동구","성수동2가",37.5407489,127.0571063
"성동구","송정동",37.5541037,127.0621614
"성동구","용답동",37.5624296,127.0550851
"광진구","중곡동",37.5630636,127.0883253
"광진구","능동",37.5511328,127.0818921
"광진구","구의동",37.5436014,127.0931657
"광진구","광장동",37.5477291,127.1042141
"광진구","자양동",37.5323755,127.0744811
"광진구","화양동",37.5435023,127.0736981
"광진구","군자동",37.5532424,127.0734923
"동대문구","신설동",37.5748049,127.0255929
"동대문구","용두동",37.5762335,127.0348716
"동대문구","제기동",37.5847824,127.0368405
"동대문구","전농동",37.5802851,127.0556709
"동대문구","답십리동",37.5699332,127.0551216
"동대문구","장안동",37.5711171,127.0674265
"동대문구","청량리동",37.5883148,127.0460899
"동대문구","회기동",37.594437,127.0521251
"동대문구","휘경동",37.5881848,127.0643272
"동대문구","이문동",37.5994013,127.0624708
"중랑구","면목동",37.5819253,127.0902095
"중랑구","상봉동",37.6001601,127.0832212
"중랑구","중화동",37.600464,127.0784467
"중랑구","묵동",37.6125348,127.0803388
"중랑구","망우동",37.6003767,127.1056492
"중랑구","신내동",37.6102524,127.1011551
"성북구","성북동",37.5963213,126.9925431
"성북구","성북동1가",37.5895393,127.0040328
"성북구","돈암동",37.5971818,127.0178324
"성북구","동소문동1가",37.5901376,127.007256
"성북구","동소문동2가",37.5888166,127.0081299
"성북구","동소문동3가",37.5903924,127.0116169
"성북구","동소문동4가",37.5918678,127.0106029
"성북구","동소문동5가",37.5915119,127.0150675
"성북구","동소문동6가",37.5936325,127.0140286
"성북구","동소문동7가",37.5963137,127.0142973
"성북구","삼선동1가",37.5843841,127.0075165
"성북구","삼선동2가",37.5848587,127.0118856
"성북구","삼선동3가",37.5867502,127.0134419
"성북구","삼선동4가",37.5898185,127.013353
"성북구","삼선동5가",37.5885476,127.016002
"성북구","동선동1가",37.5924569,127.0182087
"성북구","동선동2가",37.5900467,127.0197107
"성북구","동선동3가",37.5941547,127.0204848
"성북구","동선동4가",37.5951321,127.0188307
"성북구","동선동5가",37.5963264,127.0168843
"성북구","안암동1가",37.5887176,127.0222897
"성북구","안암동2가",37.5868415,127.0232695
"성북구","안암동3가",37.5839528,127.0236728
"성북구","안암동4가",37.5805404,127.0246072
"성북구","안암동5가",37.5884384,127.0295868
"성북구","보문동4가",37.5829039,127.021382
"성북구","보문동5가",37.5824037,127.0201558
"성북구","보문동6가",37.5806329,127.0192949
"성북구","보문동7가",37.5796096,127.0223212
"성북구","보문동1가",37.5864995,127.0196089
"성북구","보문동2가",37.5858496,127.0183007
"성북구","보문동3가",37.584334,127.016517
"성북구","정릉동",37.6167753,126.9983569
"성북구","길음동",37.6084879,127.0223924
"성북구","종암동",37.596525,127.0332811
"성북구","하월곡동",37.6041679,127.0378885
"성북구","상월곡동",37.6060556,127.0475388
"성북구","장위동",37.6160358,127.0503365
"성북구","석관동",37.6079392,127.0611739
"강북구","미아동",37.6219876,127.0235677
"강북구","번동",37.6292269,127.036379
"강북구","수유동",37.6371315,127.007544
"강북구","우이동",37.6632405,126.9992181
"도봉구","쌍문동",37.6525541,127.0273717
"도봉구","방학동",37.6646494,127.0334847
"도봉구","창동",37.6463131,127.04338
"도봉구","도봉동",37.6852416,127.0298657
"노원구","월계동",37.6295557,127.0562532
"노원구","공릉동",37.6304774,127.0884816
"노원구","하계동",37.638495,127.071507
"노원구","상계동",37.6664734,127.0723253
"노원구","중계동",37.6508772,127.0775077
"은평구","수색동",37.5849864,126.8928476
"은평구","녹번동",37.6041196,126.9344912
"은평구","불광동",37.6191932,126.935134
"은평구","갈현동",37.6210985,126.9132641
"은평구","구산동",37.6122006,126.9088192
"은평구","대조동",37.6126506,126.9243912
"은평구","응암동",37.5926842,126.9257984
"은평구","역촌동",37.60508,126.9121446
"은평구","신사동",37.5959208,126.9074632
"은평구","증산동",37.583179,126.9061068
"은평구","진관동",37.6422519,126.934085
"서대문구","충정로2가",37.5649689,126.9639845
"서대문구","충정로3가",37.5622877,126.9621679
"서대문구","합동",37.5613616,126.9662486
"서대문구","미근동",37.5635697,126.9673972
"서대문구","냉천동",37.5674955,126.9620152
"서대문구","천연동",37.5678141,126.9597564
"서대문구","옥천동",37.5692019,126.9591256
"서대문구","영천동",37.5701581,126.9583199
"서대문구","현저동",37.5741171,126.9547307
"서대문구","북아현동",37.5636974,126.9549002
"서대문구","홍제동",37.5873266,126.94728
"서대문구","대현동",37.5613992,126.9453104
"서대문구","대신동",37.5646453,126.9439073
"서대문구","신촌동",37.5651557,126.9433451
"서대문구","봉원동",37.5726345,126.9472294
"서대문구","창천동",37.558812,126.934147
"서대문구","연희동",37.5725293,126.9312648
"서대문구","홍은동",37.5933419,126.9395751
"서대문구","북가좌동",37.5791085,126.9117177
"서대문구","남가좌동",37.5766943,126.9185075
"마포구","아현동",37.554422,126.9559626
"마포구","공덕동",37.5473874,126.9555575
"마포구","신공덕동",37.5443996,126.9556064
"마포구","도화동",37.5395606,126.9506254
"마포구","용강동",37.5412882,126.9404514
"마포구","토정동",37.5388869,126.9396827
"마포구","마포동",37.536882,126.943622
"마포구","대흥동",37.5498968,126.9427567
"마포구","염리동",37.5492254,126.9472146
"마포구","노고산동",37.5540256,126.9382447
"마포구","신수동",37.5480088,126.9372619
"마포구","현석동",37.5422601,126.9345406
"마포구","구수동",37.5460069,126.932338
"마포구","창전동",37.5498986,126.9290709
"마포구","상수동",37.5470257,126.9243736
"마포구","하중동",37.5438506,126.9279703
"마포구","신정동",37.5432644,126.9306672
"마포구","당인동",37.5447269,126.9194336
"마포구","서교동",37.5536496,126.9200803
"마포구","동교동",37.5580953,126.9258049
"마포구","합정동",37.5478042,126.9079929
"마포구","망원동",37.5559402,126.8999194
"마포구","연남동",37.5626693,126.9223734
"마포구","성산동",37.5662175,126.9039248
"마포구","중동",37.5716735,126.9067456
"마포구","상암동",37.5715459,126.877877
"양천구","신정동",37.5163358,126.8530247
"양천구","목동",37.5367323,126.8764165
"양천구","신월동",37.5290519,126.8370637
"강서구","염창동",37.5559718,126.8712408
"강서구","등촌동",37.5519877,126.8527941
"강서구","화곡동",37.5421699,126.8468431
"강서구","가양동",37.567984,126.844436
"강서구","마곡동",37.574112,126.8309811
"강서구","내발산동",37.5536081,126.8346843
"강서구","외발산동",37.5495179,126.8203066
"강서구","공항동",37.5528356,126.8112163
"강서구","방화동",37.5773667,126.814752
"강서구","개화동",37.5865739,126.8031382
"강서구","과해동",37.5662169,126.7883549
"강서구","오곡동",37.5534112,126.7831642
"강서구","오쇠동",37.5435569,126.7978763
"구로구","신도림동",37.5105874,126.8830734
"구로구","구로동",37.4937929,126.8849584
"구로구","가리봉동",37.4830168,126.887363
"구로구","고척동",37.502438,126.8586172
"구로구","개봉동",37.4946532,126.8517611
"구로구","오류동",37.4922507,126.8372029
"구로구","궁동",37.5009522,126.8286614
"구로구","온수동",37.4936808,126.8204193
"구로구","천왕동",37.4801779,126.8394452
"구로구","항동",37.4810222,126.8236562
"금천구","가산동",37.4754693,126.8842387
"금천구","독산동",37.4663645,126.8975779
"금천구","시흥동",37.4497033,126.9106965
"영등포구","영등포동",37.5134157,126.9067835
"영등포구","영등포동1가",37.517729,126.9126708
"영등포구","영등포동2가",37.5208906,126.9126698
"영등포구","영등포동3가",37.5181304,126.9083998
"영등포구","영등포동4가",37.517862,126.9038985
"영등포구","영등포동5가",37.5210399,126.9068175
"영등포구","영등포동6가",37.5222528,126.9030388
"영등포구","영등포동7가",37.5242607,126.9071884
"영등포구","영등포동8가",37.5290851,126.9050149
"영등포구","여의도동",37.5284328,126.9273753
"영등포구","당산동1가",37.5214443,126.898537
"영등포구","당산동2가",37.5224645,126.8938151
"영등포구","당산동3가",37.526241,126.8974284
"영등포구","당산동4가",37.5291366,126.8991344
"영등포구","당산동5가",37.5321286,126.90101
"영등포구","당산동6가",37.5347504,126.9031693
"영등포구","당산동",37.534892,126.9024679
"영등포구","도림동",37.5082421,126.9015397
"영등포구","문래동1가",37.5118742,126.8975738
"영등포구","문래동2가",37.5127162,126.8935375
"영등포구","문래동3가",37.5171092,126.8959575
"영등포구","문래동4가",37.5144685,126.8901537
"영등포구","문래동5가",37.5163676,126.8835197
"영등포구","문래동6가",37.5200428,126.8841712
"영등포구","양평동1가",37.5231837,126.8886735
"영등포구","양평동2가",37.5233387,126.8839345
"영등포구","양평동3가",37.5296813,126.8897889
"영등포구","양평동4가",37.536431,126.8962332
"영등포구","양평동5가",37.5389197,126.8929394
"영등포구","양평동6가",37.5427197,126.8894307
"영등포구","양화동",37.5489947,126.8900753
"영등포구","신길동",37.5058261,126.9126514
"영등포구","대림동",37.4970578,126.9009236
"영등포구","양평동",37.5326108,126.8899608
"동작구","노량진동",37.5115,126.9415118
"동작구","상도동",37.4996854,126.9455504
"동작구","상도1동",37.5032399,126.9498621
"동작구","본동",37.5124878,126.9551132
"동작구","흑석동",37.5052783,126.9638232
"동작구","동작동",37.4999089,126.9736767
"동작구","사당동",37.4851779,126.9717959
"동작구","대방동",37.5067515,126.9277454
"동작구","신대방동",37.4921384,126.9166599
"관악구","봉천동",37.4750363,126.9490874
"관악구","신림동",37.4630314,126.9347745
"관악구","남현동",37.4630565,126.9776244
"서초구","방배동",37.4790075,126.9959104
"서초구","양재동",37.468455,127.0362466
"서초구","우면동",37.4660631,127.0178628
"서초구","원지동",37.4449934,127.049594
"서초구","잠원동",37.5153035,127.0093893
"서초구","반포동",37.5045831,127.0021767
"서초구","서초동",37.4885178,127.0171248
"서초구","내곡동",37.4583407,127.0770851
"서초구","염곡동",37.4631455,127.0527369
"서초구","신원동",37.4451504,127.0596521
"강남구","역삼동",37.4998676,127.0386901
"강남구","개포동",37.4824461,127.0627322
"강남구","청담동",37.5255867,127.0522746
"강남구","삼성동",37.5147968,127.0550895
"강남구","대치동",37.4989487,127.0646582
"강남구","신사동",37.522901,127.0246548
"강남구","논현동",37.5138347,127.0317062
"강남구","압구정동",37.52883,127.0295045
"강남구","세곡동",37.4644483,127.1066379
"강남구","자곡동",37.4766387,127.1001169
"강남구","율현동",37.4717408,127.1114701
"강남구","일원동",37.487919,127.0852156
"강남구","수서동",37.4855136,127.0984643
"강남구","도곡동",37.4881299,127.0440333
"송파구","잠실동",37.5111559,127.0858092
"송파구","신천동",37.5250784,127.0921991
"송파구","풍납동",37.5335451,127.1132241
"송파구","송파동",37.5049182,127.1138534
"송파구","석촌동",37.502828,127.1041069
"송파구","삼전동",37.5018103,127.0897698
"송파구","가락동",37.4942803,127.1176311
"송파구","문정동",37.4856663,127.1237432
"송파구","장지동",37.4785724,127.1320169
"송파구","방이동",37.5163579,127.1260688
"송파구","오금동",37.5037347,127.1339176
"송파구","거여동",37.4893748,127.1470227
"송파구","마천동",37.497466,127.151561
"강동구","명일동",37.5485893,127.151755
"강동구","고덕동",37.5655385,127.1576823
"강동구","상일동",37.5508013,127.1698689
"강동구","길동",37.5397058,127.1470066
"강동구","둔촌동",37.5289353,127.1467424
"강동구","암사동",37.5577912,127.1295091
"강동구","성내동",37.5304064,127.1288442
"강동구","천호동",37.5431857,127.1265643
"강동구","강일동",37.5676689,127.1720391
